Name,Country,Type,Levels,Typical_Academic_Requirement,Typical_English_Requirement,Estimated_Tuition_USD_per_year,Notes_for_International_Students
Regional US College 148,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Regional US College 149,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
Regional US College 150,USA,Community College,Associate|Diploma,HS completion / Bachelor's for Master; competitive GPA varies (2.5–3.7+),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–15,000",International students: check specific program requirements and visa documentation
University of Toronto,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of British Columbia (UBC),Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
McGill University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Alberta,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Waterloo,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
McMaster University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Calgary,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Queen's University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Western University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Ottawa,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Simon Fraser University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Dalhousie University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Victoria,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Carleton University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
York University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Concordia University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Brock University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Guelph,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Manitoba,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Memorial University of Newfoundland,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Saskatchewan,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Ryerson University (Toronto Metropolitan),Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Trent University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Mount Royal University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of New Brunswick,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Athabasca University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Capilano University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Kwantlen Polytechnic University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Cambrian College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Seneca College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Humber College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
George Brown College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Sheridan College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Fanshawe College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Durham College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Mohawk College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Conestoga College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Centennial College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Algonquin College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Camosun College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Langara College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
BCIT (British Columbia Institute of Technology),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Algoma University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Laurentian University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Université Laval,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Université de Montréal,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Vancouver Community College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Northern College (Ontario),Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Okanagan College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Red River College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
NAIT (Northern Alberta Institute of Technology),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Vanier College (CEGEP),Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Dawson College (CEGEP),Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
ILAC (International Language Academy of Canada),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
ILSC Education Group,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Kaplan International (Toronto),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
EC English (Vancouver/Toronto),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Fanshawe Global,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
CDI College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Brescia University College,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Regina,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Lethbridge,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Prince Edward Island,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Nipissing University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Mount Allison University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Bishop's University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
University of Winnipeg,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Royal Roads University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Yorkville University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Trinity Western University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Vancouver Island University,Canada,University,Bachelor|Master,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Concordia (English programs),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Université du Québec à Montréal (UQAM),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Université du Québec system,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
École de technologie supérieure (ETS),Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Canada College (private),Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Ashton College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Columbia International College,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Canadian College of English Language,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Global Village English Centres,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Canada College Private 1,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Canada College Private 2,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 1,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 2,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada Institute 3,Canada,University,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$8,000–45,000",International students: check provincial requirements and study permit rules
Regional Canada College 86,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 87,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 88,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 89,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 90,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 91,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 92,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 93,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 94,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 95,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 96,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 97,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 98,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 99,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 100,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 101,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 102,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 103,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 104,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 105,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 106,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
Regional Canada College 107,Canada,College,Diploma|Certificate,HS completion / Bachelor's for Master; typical GPA ~2.5–3.2+ (varies),"IELTS 6.0–7.0 (varies by program); alternatives: TOEFL, Duolingo, PTE","$6,000–20,000",International students: check provincial requirements and study permit rules
